id,type,description,active
3560,VEG,Vegetation and Landscape,TRUE
3570,VDS,Vehicle Detection System,TRUE
3580,VLUV,Ventilation Louvers,TRUE
3590,TSVS,Ventilation Stack Structure,TRUE
3600,TDRS,Vertical Risers and Shafts,TRUE
3610,VIB,Vibration monitoring sensors,TRUE
3620,VWS,Video Wall System,TRUE
3630,WPE,Wall panel dirt accumulation illuminance PE cell,TRUE
3640,TPFF,Wall Panel Framework and Fixings,TRUE
3650,TPWW,Wall Panels,TRUE
3660,BHCH,Water Heaters and Chillers,TRUE
3670,TNK,Water Tank,TRUE
3680,LTE,Wayfinding Emergency Exit Lighting,TRUE
3690,WST,Weigh Station,TRUE
3700,TXTS,Winding Temp Sensor,TRUE
3710,WRB,"Wire Rope Barrier, Post and Terminals",TRUE
3720,WAP,Wireless access point (WI-FI hotspot),TRUE
3730,FPWO,Wireless Output,TRUE
3740,BFWE,Wood Elements,TRUE
3750,WS,Workstation (Desk),TRUE
3760,PSS,XP Pressurisation Sensor,TRUE
3770,SR,Y Strainer,TRUE
3780,ZLM,Zebra crossing,TRUE
